dataset,selected_count,share
SciKnowEval,1336,0.2352
EarthSE_Earth-Iron,654,0.1151
CSBench_MCQ,426,0.075
GeneTuring,402,0.0708
MedMCQA,398,0.0701
BioASQ,276,0.0486
ChemBench,270,0.0475
EarthSE_Earth-Silver,254,0.0447
Genome-Bench,250,0.044
ClimaQA_silver,206,0.0363
ATLAS,179,0.0315
EarthSE_Earth-Gold,145,0.0255
QCBench,142,0.025
MedQA_USMLE,129,0.0227
Astro-QA,124,0.0218
Lab-Bench,118,0.0208
PHYBench,94,0.0165
MedXpertQA,82,0.0144
ClimaQA_gold,69,0.0121
PubMedQA,66,0.0116
MaScQA,58,0.0102
UGPhysics,3,0.0005
