dataset,question_type,selected_count,share_within_dataset,share_total
ATLAS,Open-ended,179,1.0,0.0315
Astro-QA,MCQA,119,0.9597,0.0209
Astro-QA,True/False,5,0.0403,0.0009
BioASQ,Open-ended,276,1.0,0.0486
CSBench_MCQ,MCQA,426,1.0,0.075
ChemBench,MCQA,192,0.7111,0.0338
ChemBench,Open-ended,78,0.2889,0.0137
ClimaQA_gold,MCQA,41,0.5942,0.0072
ClimaQA_gold,Open-ended,28,0.4058,0.0049
ClimaQA_silver,MCQA,126,0.6117,0.0222
ClimaQA_silver,Open-ended,80,0.3883,0.0141
EarthSE_Earth-Gold,Open-ended dialogue,145,1.0,0.0255
EarthSE_Earth-Iron,Open-ended,377,0.5765,0.0664
EarthSE_Earth-Iron,MCQA,154,0.2355,0.0271
EarthSE_Earth-Iron,Fill-in-the-blank,67,0.1024,0.0118
EarthSE_Earth-Iron,True/False,56,0.0856,0.0099
EarthSE_Earth-Silver,Open-ended,80,0.315,0.0141
EarthSE_Earth-Silver,MCQA,78,0.3071,0.0137
EarthSE_Earth-Silver,True/False,50,0.1969,0.0088
EarthSE_Earth-Silver,Fill-in-the-blank,46,0.1811,0.0081
GeneTuring,Open generation/extraction,402,1.0,0.0708
Genome-Bench,MCQA,250,1.0,0.044
Lab-Bench,MCQA,118,1.0,0.0208
MaScQA,MCQA,58,1.0,0.0102
MedMCQA,MCQA,398,1.0,0.0701
MedQA_USMLE,MCQA,129,1.0,0.0227
MedXpertQA,MCQA,82,1.0,0.0144
PHYBench,Open-ended,94,1.0,0.0165
PubMedQA,MCQA,66,1.0,0.0116
QCBench,Open numeric/short answer,142,1.0,0.025
SciKnowEval,MCQA,1336,1.0,0.2352
UGPhysics,Open-ended,3,1.0,0.0005
