domain,subdomain,selected_count,share_within_domain,share_total
Astronomy,Astronomy General,124,1.0,0.0218
Chemistry,Reaction Pred Mcq,144,0.1841,0.0253
Chemistry,Physical Chemistry,92,0.1176,0.0162
Chemistry,Analytical Chemistry,89,0.1138,0.0157
Chemistry,Inorganic Chemistry,76,0.0972,0.0134
Chemistry,Lipophilicity Value Prediction,75,0.0959,0.0132
Chemistry,Organic Chemistry,57,0.0729,0.01
Chemistry,Chemical Preference,50,0.0639,0.0088
Chemistry,S2W,40,0.0512,0.007
Chemistry,General Chemistry,38,0.0486,0.0067
Chemistry,Retrosynthesis Mcq,20,0.0256,0.0035
Chemistry,S2 Hbonddonor,14,0.0179,0.0025
Chemistry,Biochemistry,13,0.0166,0.0023
Chemistry,Quantum Chemistry,12,0.0153,0.0021
Chemistry,Detailed Understanding,11,0.0141,0.0019
Chemistry,S2 Rotbonds,9,0.0115,0.0016
Chemistry,Toxicity And Safety,8,0.0102,0.0014
Chemistry,S2 Hbondacc,6,0.0077,0.0011
Chemistry,Bioinspiredllm Qa,5,0.0064,0.0009
Chemistry,Materials Science,5,0.0064,0.0009
Chemistry,Polymer Chemistry,5,0.0064,0.0009
Chemistry,Chem Rxiv Qa,3,0.0038,0.0005
Chemistry,I2W,2,0.0026,0.0004
Chemistry,Protocol Qa,2,0.0026,0.0004
Chemistry,Reaction Mechanism Inference,2,0.0026,0.0004
Chemistry,Chemical Engineering And Technology,1,0.0013,0.0002
Chemistry,I2 Heavyatoms,1,0.0013,0.0002
Chemistry,Laboratory Safety Test Mcq,1,0.0013,0.0002
Chemistry,Theoretical And Computational Chemistry,1,0.0013,0.0002
Climate Science,Climate Science,275,0.4264,0.0484
Climate Science,Climatology,102,0.1581,0.018
Climate Science,Meteorology,51,0.0791,0.009
Climate Science,Atmospheric Chemistry,46,0.0713,0.0081
Climate Science,Cryosphere,35,0.0543,0.0062
Climate Science,Atmospheric Remote Sensing,34,0.0527,0.006
Climate Science,Atmospheric Physics,28,0.0434,0.0049
Climate Science,Numerical Weather Prediction And Simulation,23,0.0357,0.004
Climate Science,Glaciology,19,0.0295,0.0033
Climate Science,Hydrometeorology,14,0.0217,0.0025
Climate Science,Hydrological Meteorology,7,0.0109,0.0012
Climate Science,Polar Climate Science,6,0.0093,0.0011
Climate Science,Paleoclimatology,4,0.0062,0.0007
Climate Science,Polar Oceanography,1,0.0016,0.0002
Clinical Medicine,Medical Exam Qa,129,0.1911,0.0227
Clinical Medicine,Clinical Specialist Qa,82,0.1215,0.0144
Clinical Medicine,Biomedical Literature Qa,66,0.0978,0.0116
Clinical Medicine,Medicine,57,0.0844,0.01
Clinical Medicine,Surgery,20,0.0296,0.0035
Clinical Medicine,Pathology,19,0.0281,0.0033
Clinical Medicine,Pathology: Blood,16,0.0237,0.0028
Clinical Medicine,Dental,13,0.0193,0.0023
Clinical Medicine,Gynaecology & Obstetrics,12,0.0178,0.0021
Clinical Medicine,Physiology,10,0.0148,0.0018
Clinical Medicine,Pathology: Kidney,8,0.0119,0.0014
Clinical Medicine,Pediatrics,8,0.0119,0.0014
Clinical Medicine,Pharmacology,8,0.0119,0.0014
Clinical Medicine,Anaesthesia,7,0.0104,0.0012
Clinical Medicine,Anaesthesia: Miscellaneous,7,0.0104,0.0012
Clinical Medicine,Medicine: Kidney,7,0.0104,0.0012
Clinical Medicine,Medicine: Respiratory System,6,0.0089,0.0011
Clinical Medicine,Medicine: Abg Analysis Simplified,5,0.0074,0.0009
Clinical Medicine,Medicine: C.V.S.,5,0.0074,0.0009
Clinical Medicine,Pathology: Respiration,5,0.0074,0.0009
Clinical Medicine,Social & Preventive Medicine,5,0.0074,0.0009
Clinical Medicine,Biochemistry,4,0.0059,0.0007
Clinical Medicine,Medicine: All India Exam,4,0.0059,0.0007
Clinical Medicine,Medicine: Blood,4,0.0059,0.0007
Clinical Medicine,Medicine: Fluid & Electrolyte,4,0.0059,0.0007
Clinical Medicine,Medicine: Respiratory,4,0.0059,0.0007
Clinical Medicine,Microbiology,4,0.0059,0.0007
Clinical Medicine,Physiology: Respiratory System,4,0.0059,0.0007
Clinical Medicine,"Surgery: Wounds, Tissue Repair & Scars",4,0.0059,0.0007
Clinical Medicine,Unknown,4,0.0059,0.0007
Clinical Medicine,Medicine: Endocrinology,3,0.0044,0.0005
Clinical Medicine,Pathology: C.V.S,3,0.0044,0.0005
Clinical Medicine,Pathology: Endocrine,3,0.0044,0.0005
Clinical Medicine,Pathology: Immunity,3,0.0044,0.0005
Clinical Medicine,Pathology: Misc.,3,0.0044,0.0005
Clinical Medicine,Pediatrics: Respiratory System,3,0.0044,0.0005
Clinical Medicine,Unknown: Integrated Q Bank,3,0.0044,0.0005
