domain,subdomain,count,datasets,forms,count_basis
Life Sciences,Biomedical Qa,4719,BioASQ:4719,Open-ended:4719,records:4719
Life Sciences,Bioinspiredllm Qa,1484,SciKnowEval:1484,MCQA:1484,records:1484
Life Sciences,Bio Rxiv Qa,1320,SciKnowEval:1320,MCQA:1320,records:1320
Life Sciences,Biomedical Laboratory,1116,Lab-Bench:1116,MCQA:1116,records:1116
Life Sciences,Pub Med Qa,896,SciKnowEval:896,MCQA:896,records:896
Life Sciences,Detailed Understanding,444,SciKnowEval:444,MCQA:444,records:444
Life Sciences,Protocol Qa,317,SciKnowEval:317,MCQA:317,records:317
Life Sciences,Aquatic Ecology And Limnological Ecology,263,EarthSE_Earth-Iron:201; EarthSE_Earth-Silver:62,Open-ended:95; MCQA:62; Fill-in-the-blank:59; True/False:47,records:263
Life Sciences,Chem Rxiv Qa,220,SciKnowEval:220,MCQA:220,records:220
Life Sciences,Proteotoxicity Prediction Mcq,195,SciKnowEval:195,MCQA:195,records:195
Life Sciences,Gb1 Ftness Prediction,100,SciKnowEval:100,MCQA:100,records:100
Life Sciences,Protein Protein Interaction,100,SciKnowEval:100,MCQA:100,records:100
Life Sciences,Stability Prediction,100,SciKnowEval:100,MCQA:100,records:100
Life Sciences,Ecosystem Ecology,96,EarthSE_Earth-Iron:75; EarthSE_Earth-Silver:21,Open-ended:50; MCQA:17; True/False:15; Fill-in-the-blank:14,records:96
Life Sciences,Biosphere,48,EarthSE_Earth-Gold:48,Open-ended dialogue:48,records:48
Life Sciences,Biogeochemistry,46,EarthSE_Earth-Iron:40; EarthSE_Earth-Silver:6,MCQA:17; Open-ended:16; Fill-in-the-blank:8; True/False:5,records:46
Life Sciences,Laboratory Safety Test Mcq,45,SciKnowEval:45,MCQA:45,records:45
Life Sciences,Population Ecology,41,EarthSE_Earth-Iron:29; EarthSE_Earth-Silver:12,Open-ended:13; Fill-in-the-blank:12; True/False:9; MCQA:7,records:41
Life Sciences,Landscape Ecology,32,EarthSE_Earth-Iron:27; EarthSE_Earth-Silver:5,Open-ended:14; MCQA:9; Fill-in-the-blank:5; True/False:4,records:32
Life Sciences,Biogeography,27,EarthSE_Earth-Iron:23; EarthSE_Earth-Silver:4,Fill-in-the-blank:9; Open-ended:8; MCQA:6; True/False:4,records:27
Life Sciences,Biophysics And Biochemistry,15,ATLAS:15,Open-ended:15,records:15
Life Sciences,Community Ecology,13,EarthSE_Earth-Iron:11; EarthSE_Earth-Silver:2,Open-ended:6; MCQA:4; True/False:3,records:13
Life Sciences,Molecular Biology And Biotechnology,11,ATLAS:11,Open-ended:11,records:11
Life Sciences,Restoration Ecology,7,EarthSE_Earth-Iron:6; EarthSE_Earth-Silver:1,Fill-in-the-blank:2; MCQA:2; Open-ended:2; True/False:1,records:7
Life Sciences,Ecology,5,ATLAS:5,Open-ended:5,records:5
Life Sciences,Cell Biology,4,ATLAS:4,Open-ended:4,records:4
Life Sciences,Ecological Engineering,4,EarthSE_Earth-Iron:3; EarthSE_Earth-Silver:1,Fill-in-the-blank:2; MCQA:2,records:4
Life Sciences,Regional Ecology,4,EarthSE_Earth-Iron:4,Fill-in-the-blank:3; Open-ended:1,records:4
Life Sciences,Neuroscience And Psychology,3,ATLAS:3,Open-ended:3,records:3
Life Sciences,Physiology And Integrative Biology,3,ATLAS:3,Open-ended:3,records:3
Life Sciences,Immunology,2,ATLAS:2,Open-ended:2,records:2
Life Sciences,Agricultural Ecology,1,EarthSE_Earth-Iron:1,MCQA:1,records:1
Life Sciences,Historical Ecology,1,EarthSE_Earth-Iron:1,Open-ended:1,records:1
Life Sciences,Soil Ecology,1,EarthSE_Earth-Iron:1,Open-ended:1,records:1
Life Sciences,Urban Ecology,1,EarthSE_Earth-Silver:1,Fill-in-the-blank:1,records:1
Genomics,Genome Protocol Qa,661,Genome-Bench:661,MCQA:661,records:661
Genomics,Human Genome Dna Alignment Programming,300,GeneTuring:300,Open generation/extraction:300,unique_questions:300
Genomics,Multi Species Dna Alignment Programming,300,GeneTuring:300,Open generation/extraction:300,unique_questions:300
Genomics,Snp Location,300,GeneTuring:300,Open generation/extraction:300,unique_questions:300
Genomics,Gene Disease Association,201,GeneTuring:201,Open generation/extraction:201,unique_questions:201
Genomics,Gene Alias,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Gene Location,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Gene Name Conversion,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
Genomics,Gene Name Extraction,200,GeneTuring:200,Open generation/extraction:200,unique_questions:200
