dataset,selected_count,share
SciKnowEval,1340,0.2347
EarthSE_Earth-Iron,654,0.1146
CSBench_MCQ,434,0.076
MedMCQA,414,0.0725
GeneTuring,402,0.0704
BioASQ,276,0.0483
ChemBench,270,0.0473
EarthSE_Earth-Silver,254,0.0445
Genome-Bench,250,0.0438
ClimaQA_silver,206,0.0361
ATLAS,179,0.0314
EarthSE_Earth-Gold,145,0.0254
QCBench,142,0.0249
MedQA_USMLE,129,0.0226
Astro-QA,124,0.0217
Lab-Bench,118,0.0207
PHYBench,94,0.0165
MedXpertQA,82,0.0144
ClimaQA_gold,69,0.0121
PubMedQA,66,0.0116
MaScQA,58,0.0102
UGPhysics,3,0.0005
